Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,Date,Date Added,Date Modified,Pages,Extra,Key
In This Together: Navigating Ethical Challenges Posed by Family Clustering During the Covid-19 Pandemic,Hastings Center Report,51,2,10.1002/hast.1241,"Buren, Nicole R. Van; Weber, Elijah; Bliton, Mark J.; Cunningham, Thomas V.",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,16–21,,PUF5FV7I
Public Attitudes Toward Consent When Research is Integrated Into Care–Any ?Ought? From All the ?Is??,Hastings Center Report,51,2,10.1002/hast.1242,"Morain, Stephanie R.; Largent, Emily A.",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,22–32,,HYBRTXUR
A Realpolitik for Presidential Health: A Psychiatrist's Perspective,Hastings Center Report,51,4,10.1002/hast.1267,"Appel, Jacob M.",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,12–17,,TWU3TJRB
Mind the Gaps: Ethical and Epistemic Issues in the Digital Mental Health Response to Covid-19,Hastings Center Report,51,6,10.1002/hast.1292,"Skorburg, Joshua August; Friesen, Phoebe",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,23–26,,H9HSHRVV
Pediatric Off-Label Use of Covid-19 Vaccines: Ethical and Legal Considerations,Hastings Center Report,51,6,10.1002/hast.1296,"Lanphier, Elizabeth; Fyfe, Shannon",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,27–32,,4H2LPXEF
Moral Status and the Oversight of Research Involving Chimeric Animals,Hastings Center Report,52,S2,10.1002/hast.1431,"Marshall, Patricia; Craig, Kaitlynn P.; Hyun, Insoo",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,41–45,,Y9SU8W4I
Deciding with Others: Interdependent Decision-Making,Hastings Center Report,52,6,10.1002/hast.1444,"Largent, Emily A.; Clapp, Justin; Blumenthal-Barby, Jennifer S.; Grady, Christine; McGuire, Amy L.; Karlawish, Jason; Grill, Joshua D.; Stites, Shana D.; Peterson, Andrew",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,23–32,,UMKPNQ5X
Home Care in America: The Urgent Challenge of Putting Ethical Care Into Practice,Hastings Center Report,53,3,10.1002/hast.1487,"Solis, Coleman; Mintz, Kevin T.; Wasserman, David; Fenton, Kathleen; Danis, Marion",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,25–34,,FH56NP8H
"Centering Home Care in Bioethics Scholarship, Education, and Practice",Hastings Center Report,53,3,10.1002/hast.1488,"Gary, Mercer; Berlinger, Nancy",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,34–36,,2A7HNY96
Global Efforts to Protect Healthy Volunteers,Hastings Center Report,53,4,10.1002/hast.1494,"Fisher, Jill A.",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,2–2,,V3DBYUJ9
From Machine Ethics to Computational Ethics,AI and Society,36,1,10.1007/s00146-020-01010-1,"Segun, Samuel T.",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,263–276,,R5ZH9II3
"Ai and Law: Ethical, Legal, and Socio-Political Implications",AI and Society,36,2,10.1007/s00146-021-01194-0,"Gordon, John-Stewart",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,403–404,,9SQ5LPFK
Algorithmic and Human Decision Making: For a Double Standard of Transparency,AI and Society,37,1,10.1007/s00146-021-01200-5,"Günther, Mario; Kasirzadeh, Atoosa",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,375–381,,WCDZA3B5
How to Cheat on Your Final Paper: Assigning Ai for Student Writing,AI and Society,38,4,10.1007/s00146-022-01397-z,"Fyfe, Paul",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,1395–1405,,RXSWFBML
Detecting Racial Inequalities in Criminal Justice: Towards an Equitable Deep Learning Approach for Generating and Interpreting Racial Categories Using Mugshots,AI and Society,38,2,10.1007/s00146-022-01440-z,"Dass, Rahul Kumar; Petersen, Nick; Omori, Marisa; Lave, Tamara Rice; Visser, Ubbo",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,897–918,,YHJDNE2J
Immune Moral Models? Pro-Social Rule Breaking as a Moral Enhancement Approach for Ethical Ai,AI and Society,38,2,10.1007/s00146-022-01478-z,"Ramanayake, Rajitha; Wicke, Philipp; Nallur, Vivek",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,801–813,,DIJ7FMDE
Expert Responsibility in Ai Development,AI and Society,,,10.1007/s00146-022-01498-9,"Hedlund, Maria; Persson, Erik",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,1–12,,CP995G2E
Beta-Testing the Ethics Plugin,AI and Society,38,,10.1007/s00146-023-01630-3,"Begley, Keith",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,1503–1505,,HPPH25G8
Handling Critical Incidents as Organizational?Ethical Challenges Using the Example of ?Medical Errors?,Ethik in der Medizin,33,2,10.1007/s00481-020-00596-w,"Schmidt, Kurt W.",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,233–242,Publisher: Springer Berlin Heidelberg,UL42LPZP
Ethical Challenges in Child and Adolescent Forensic Psychiatry. Observational Study and Screening Instrument,Ethik in der Medizin,33,1,10.1007/s00481-021-00605-6,"Schürmann, Jan; Mühleck, Mara; Perler, Christian; Schmeck, Klaus; Reiter-Theil, Stella",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,31–49,Publisher: Springer Berlin Heidelberg,HPELF7ZU
"Digital Interventions for Refugees. Challenges, Opportunities, and Perspectives of Agency",Ethik in der Medizin,33,3,10.1007/s00481-021-00621-6,"Rubeis, Giovanni",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,335–352,Publisher: Springer Berlin Heidelberg,FVR5QWXI
Digitalization and Organizational Ethics. Scenarios From an Ethical and Philosophy of Technology Point of View,Ethik in der Medizin,33,2,10.1007/s00481-021-00630-5,"Manzeschke, Arne",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,219–232,Publisher: Springer Berlin Heidelberg,UY7TUF8K
Do Patients Have a Moral Duty to Provide Their Clinical Data for Research? A Critical Examination of Possible Reasons,Ethik in der Medizin,34,2,10.1007/s00481-022-00684-z,"Jungkunz, Martin; Köngeter, Anja; Mehlis, Katja; Spitz, Markus; Winkler, Eva C.; Schickhardt, Christoph",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,195–220,,2TV8G2QA
"Axel W. Bauer, Ralf-Dieter Hofheinz, Jochen S. Utikal (Hrsg) (2021) Ethical Challenges in Cancer Diagnosis and Therapy",Ethik in der Medizin,34,1,10.1007/s00481-022-00685-y,"Winkler, Eva C.",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,137–140,Publisher: Springer Berlin Heidelberg,B9F3LXHL
Covid-19 Protective Measures in Nursing Homes: Between Autonomy and Care ? Results of an Interview Study,Ethik in der Medizin,34,2,10.1007/s00481-022-00686-x,"Flatscher-Thöni, Magdalena; Holzer, Elisabeth; Pallauf, Martin; Kreyer, Christiane",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,221–238,,YZWFFAN6
"Solveig Lena Hansen, Silke Schicktanz (Hrsg) (2021) Ethical Challenges of Organ Transplantation. Current Debates and International Perspectives: Transcript Verlag, Bielefeld, 358 Seiten, 40,00 ?, Isbn 978-3-8376-4643-6",Ethik in der Medizin,34,2,10.1007/s00481-022-00687-w,"Primc, Nadia",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,275–276,Publisher: Springer Berlin Heidelberg,894YLMSH
Systemic Approach to Clinical Ethics–Impact of Systems Thinking and Practice on the Design of Effective Ethics Consultations,Ethik in der Medizin,34,4,10.1007/s00481-022-00710-0,"Woellert, Katharina",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,529–548,Publisher: Springer Berlin Heidelberg,7RRLGY94
Reproductive Timing. New Forms and Ambivalences of the Temporal Optimisation of Reproduction and Their Ethical Challenges,Ethik in der Medizin,35,1,10.1007/s00481-022-00738-2,"King, Vera; Lodtka, Pia; Marcinski-Michel, Isabella; Schreiber, Julia; Wiesemann, Claudia",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,43–56,Publisher: Springer Berlin Heidelberg,XQPF8PKH
Inherited Scepticism and Neo-Communist Csr-Washing: Evidence From a Post-Communist Society,Journal of Business Ethics,174,4,10.1007/s10551-021-04929-7,"Koleva, Petya; Meadows, Maureen",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,783–804,Publisher: Springer Verlag,VS35GEXZ
The Impact of Islamic Spirituality on Job Satisfaction and Organisational Commitment: Exploring Mediation and Moderation Impact,Journal of Business Ethics,181,4,10.1007/s10551-021-04940-y,"Asutay, Mehmet; Buana, Greget Kalla; Avdukic, Alija",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,913–932,Publisher: Springer Verlag,XW9YECC5
Advertising Benefits From Ethical Artificial Intelligence Algorithmic Purchase Decision Pathways,Journal of Business Ethics,178,4,10.1007/s10551-022-05048-7,"Rodgers, Waymond; Nguyen, Tam",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,1043–1061,Publisher: Springer Verlag,6ANUK3R3
The Ethical Implications of Artificial Intelligence (Ai) for Meaningful Work,Journal of Business Ethics,,4,10.1007/s10551-023-05339-7,"Bankins, Sarah; Formosa, Paul",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,1–16,,S8BX8J2H
The Ethical Use of Artificial Intelligence in Human Resource Management: A Decision-Making Framework,Ethics and Information Technology,23,4,10.1007/s10676-021-09619-6,"Bankins, Sarah",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,841–854,Publisher: Springer Verlag,3P3TNUDB
Epistemo-Ethical Constraints on Ai-Human Decision Making for Diagnostic Purposes,Ethics and Information Technology,24,2,10.1007/s10676-022-09629-y,"Babushkina, Dina; Votsis, Athanasios",2022,,journalArticle,,,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,,Publisher: Springer Verlag,ZS4EPA4W
Ethical Responsibility and Computational Design: Bespoke Surgical Tools as an Instructive Case Study,Ethics and Information Technology,24,1,10.1007/s10676-022-09641-2,"Howard, David; Lacey, Justine; Douglas, David M.",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,,Publisher: Springer Verlag,ITJJB75Z
The Value Sensitive Design of a Preventive Health Check App,Ethics and Information Technology,24,3,10.1007/s10676-022-09662-x,"Grondelle, Jeroen van; Timmers, Cathelijn; Gorp, Anke van; Steenbergen, Marlies van; Strikwerda, Litska",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,1–12,Publisher: Springer Verlag,XZK6JUMQ
Correction To: The Ethics of Ai in Human Resources,Ethics and Information Technology,25,1,10.1007/s10676-022-09671-w,"Aizenberg, Evgeni; Dennis, Matthew J.",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,1–1,Publisher: Springer Verlag,2UJ8NLH9
Knowledge Representation and Acquisition for Ethical Ai: Challenges and Opportunities,Ethics and Information Technology,25,1,10.1007/s10676-023-09692-z,"Belle, Vaishak",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,1–12,Publisher: Springer Verlag,3Z5ZNBX6
Gender Transition: Is There a Right to Be Forgotten?,Health Care Analysis,29,4,10.1007/s10728-021-00433-1,"Correia, Mónica; Rêgo, Guilhermina; Nunes, Rui",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,283–300,Publisher: Springer Us,RDQ3WN4Y
Ethics Consultation in Surgical Specialties,HEC Forum,34,1,10.1007/s10730-021-09447-7,"Meredyth, Nicole A.; Fins, Joseph J.; Melo-Martin, Inmaculada de",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,89–102,Publisher: Springer Verlag,ADP2PFZX
Virtue Ethics Must Be Self-Effacing to Be Normatively Significant,Journal of Value Inquiry,56,3,10.1007/s10790-020-09784-9,"Woodcock, Scott",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,451–468,Publisher: Springer Verlag,YW72GRZ9
"Ethical Issues in Research: Perceptions of Researchers, Research Ethics Board Members and Research Ethics Experts",Journal of Academic Ethics,21,2,10.1007/s10805-022-09455-3,"Drolet, Marie-Josée; Rose-Derouin, Eugénie; Leblanc, Julie-Claude; Ruest, Mélanie; Williams-Jones, Bryn",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,269–292,Publisher: Springer Verlag,5BG8NK2Q
Lost in Translation? Conceptions of Privacy and Independence in the Technical Development of Ai-Based Aal,"Medicine, Health Care and Philosophy",26,1,10.1007/s11019-022-10126-8,"Hartmann, Kris Vera; Primc, Nadia; Rubeis, Giovanni",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,99–110,,624AKNCL
Black-Box Assisted Medical Decisions: Ai Power Vs. Ethical Physician Care,"Medicine, Health Care and Philosophy",26,3,10.1007/s11019-023-10153-z,"Chan, Berman",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,285–292,,LDX36Z5R
Moral Knowledge and the Existence of God,International Journal for Philosophy of Religion,94,1,10.1007/s11153-023-09868-z,"McKay, Noah D.",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,,Publisher: Springer Verlag,BD2JIMLG
Correction: Ethics of Ai and Health Care: Towards a Substantive Human Rights Framework,Topoi,42,3,10.1007/s11245-023-09926-1,"Liao, S. Matthew",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,903–903,Publisher: Springer Verlag,NRJZNXRG
"Fission, Self-Interest and Commonsense Ethics",Philosophia,51,3,10.1007/s11406-023-00611-6,"Noonan, Harold",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,1509–1520,Publisher: Springer Verlag,KTAS2LVR
The Ethical Unjustifications of Covid-19 Triage Committees,Journal of Bioethical Inquiry,18,4,10.1007/s11673-021-10132-0,"Tian, Yi Jiao",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,621–628,Publisher: Springer Singapore,YZYUVDK4
A Multi-Level Review of Engineering Ethics Education: Towards a Socio-Technical Orientation of Engineering Education for Ethics,Science and Engineering Ethics,27,5,10.1007/s11948-021-00333-6,"Martin, Diana Adela; Conlon, Eddie; Bowe, Brian",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,1–38,Publisher: Springer Verlag,7RDJQUZD
