Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Date,Date Added,Date Modified,Pages,Issue,Volume,Publisher,Extra
PUF5FV7I,journalArticle,2021,"Buren, Nicole R. Van; Weber, Elijah; Bliton, Mark J.; Cunningham, Thomas V.",In This Together: Navigating Ethical Challenges Posed by Family Clustering During the Covid-19 Pandemic,Hastings Center Report,10.1002/hast.1241,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,16–21,2,51,,
HYBRTXUR,journalArticle,2021,"Morain, Stephanie R.; Largent, Emily A.",Public Attitudes Toward Consent When Research is Integrated Into Care–Any ?Ought? From All the ?Is??,Hastings Center Report,10.1002/hast.1242,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,22–32,2,51,,
TWU3TJRB,journalArticle,2021,"Appel, Jacob M.",A Realpolitik for Presidential Health: A Psychiatrist's Perspective,Hastings Center Report,10.1002/hast.1267,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,12–17,4,51,,
H9HSHRVV,journalArticle,2021,"Skorburg, Joshua August; Friesen, Phoebe",Mind the Gaps: Ethical and Epistemic Issues in the Digital Mental Health Response to Covid-19,Hastings Center Report,10.1002/hast.1292,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,23–26,6,51,,
4H2LPXEF,journalArticle,2021,"Lanphier, Elizabeth; Fyfe, Shannon",Pediatric Off-Label Use of Covid-19 Vaccines: Ethical and Legal Considerations,Hastings Center Report,10.1002/hast.1296,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,27–32,6,51,,
Y9SU8W4I,journalArticle,2022,"Marshall, Patricia; Craig, Kaitlynn P.; Hyun, Insoo",Moral Status and the Oversight of Research Involving Chimeric Animals,Hastings Center Report,10.1002/hast.1431,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,41–45,S2,52,,
UMKPNQ5X,journalArticle,2022,"Largent, Emily A.; Clapp, Justin; Blumenthal-Barby, Jennifer S.; Grady, Christine; McGuire, Amy L.; Karlawish, Jason; Grill, Joshua D.; Stites, Shana D.; Peterson, Andrew",Deciding with Others: Interdependent Decision-Making,Hastings Center Report,10.1002/hast.1444,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,23–32,6,52,,
FH56NP8H,journalArticle,2023,"Solis, Coleman; Mintz, Kevin T.; Wasserman, David; Fenton, Kathleen; Danis, Marion",Home Care in America: The Urgent Challenge of Putting Ethical Care Into Practice,Hastings Center Report,10.1002/hast.1487,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,25–34,3,53,,
2A7HNY96,journalArticle,2023,"Gary, Mercer; Berlinger, Nancy","Centering Home Care in Bioethics Scholarship, Education, and Practice",Hastings Center Report,10.1002/hast.1488,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,34–36,3,53,,
V3DBYUJ9,journalArticle,2023,"Fisher, Jill A.",Global Efforts to Protect Healthy Volunteers,Hastings Center Report,10.1002/hast.1494,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,2–2,4,53,,
QQ32UKIM,journalArticle,2021,"Roberts, Huw; Cowls, Josh; Morley, Jessica; Taddeo, Mariarosaria; Wang, Vincent; Floridi, Luciano","The Chinese Approach to Artificial Intelligence: An Analysis of Policy, Ethics, and Regulation",AI and Society,10.1007/s00146-020-00992-2,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,59–77,1,36,,
R5ZH9II3,journalArticle,2021,"Segun, Samuel T.",From Machine Ethics to Computational Ethics,AI and Society,10.1007/s00146-020-01010-1,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,263–276,1,36,,
8FIQQW67,journalArticle,2022,"White, Jeffrey","Autonomous Reboot: Aristotle, Autonomy and the Ends of Machine Ethics",AI and Society,10.1007/s00146-020-01039-2,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,647–659,2,37,,
LIVKI3E9,journalArticle,2021,"Rochel, Johan; Evéquoz, Florian",Getting Into the Engine Room: A Blueprint to Investigate the Shadowy Steps of Ai Ethics,AI and Society,10.1007/s00146-020-01069-w,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,609–622,2,36,,Publisher: Springer
K582H7E7,journalArticle,2021,"Põder, Johann-Christian",Ai Ethics ? a Review of Three Recent Publications,AI and Society,10.1007/s00146-020-01087-8,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,661–664,2,36,,
5K232B9D,journalArticle,2021,"Bezuidenhout, Louise; Ratti, Emanuele",What Does It Mean to Embed Ethics in Data Science? An Integrative Approach Based on the Microethics and Virtues,AI and Society,10.1007/s00146-020-01112-w,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,939–953,,36,,
WJDX7S22,journalArticle,2021,"Sparrow, Robert",Why Machines Cannot Be Moral,AI and Society,10.1007/s00146-020-01132-6,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,685–693,3,,,
RACL6JIX,journalArticle,2022,"Stahl, Bernd Carsten; Antoniou, Josephina; Ryan, Mark; Macnish, Kevin; Jiya, Tilimbe",Organisational Responses to the Ethical Issues of Artificial Intelligence,AI and Society,10.1007/s00146-021-01148-6,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,23–37,1,37,,
9SQ5LPFK,journalArticle,2021,"Gordon, John-Stewart","Ai and Law: Ethical, Legal, and Socio-Political Implications",AI and Society,10.1007/s00146-021-01194-0,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,403–404,2,36,,
WCDZA3B5,journalArticle,2022,"Günther, Mario; Kasirzadeh, Atoosa",Algorithmic and Human Decision Making: For a Double Standard of Transparency,AI and Society,10.1007/s00146-021-01200-5,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,375–381,1,37,,
3UZP2IUM,journalArticle,2022,"Fronemann, Nora; Pollmann, Kathrin; Loh, Wulf",Should My Robot Know What's Best for Me? Human?Robot Interaction Between User Experience and Ethical Design,AI and Society,10.1007/s00146-021-01210-3,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,517–533,2,37,,
A9DJJ62P,journalArticle,2022,"Mirbabaie, Milad; Hofeditz, Lennart; Frick, Nicholas R. J.; Stieglitz, Stefan",Artificial Intelligence in Hospitals: Providing a Status Quo of Ethical Considerations in Academia to Guide Future Research,AI and Society,10.1007/s00146-021-01239-4,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,1361–1382,4,37,,
7FU4K9EW,journalArticle,2022,"Krijger, Joris",Enter the Metrics: Critical Theory and Organizational Operationalization of Ai Ethics,AI and Society,10.1007/s00146-021-01256-3,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,1427–1437,4,37,,
4UE6PQAV,journalArticle,2022,"nez, Javier Camacho Ibá; Olmeda, Mónica Villas",Operationalising Ai Ethics: How Are Companies Bridging the Gap Between Practice and Principles? An Exploratory Study,AI and Society,10.1007/s00146-021-01267-0,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,1663–1687,4,37,,
AFWRWCP5,journalArticle,2023,"Nath, Rajakishore; Manna, Riya",From Posthumanism to Ethics of Artificial Intelligence,AI and Society,10.1007/s00146-021-01274-1,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,185–196,1,38,,
DNNCYQAY,journalArticle,2023,"Nandutu, Irene; Atemkeng, Marcellin; Okouma, Patrice","Integrating Ai Ethics in Wildlife Conservation Ai Systems in South Africa: A Review, Challenges, and Future Research Agenda",AI and Society,10.1007/s00146-021-01285-y,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,245–257,1,38,,
XMUY77UF,journalArticle,2023,"Mökander, Jakob; Axente, Maria",Ethics-Based Auditing of Automated Decision-Making Systems: Intervention Points and Policy Implications,AI and Society,10.1007/s00146-021-01286-x,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,153–171,1,38,,
GJS4EMXM,journalArticle,2023,"Cowls, Josh; Tsamados, Andreas; Taddeo, Mariarosaria; Floridi, Luciano","The Ai Gambit: Leveraging Artificial Intelligence to Combat Climate Change–Opportunities, Challenges, and Recommendations",AI and Society,10.1007/s00146-021-01294-x,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,283–307,1,38,,
TTYEHBNJ,journalArticle,2023,"Morley, Jessica; Kinsey, Libby; Elhalal, Anat; Garcia, Francesca; Ziosi, Marta; Floridi, Luciano","Operationalising Ai Ethics: Barriers, Enablers and Next Steps",AI and Society,10.1007/s00146-021-01308-8,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,411–423,1,38,,
