Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords
Algorithmic Hiring Systems: Implications and Recommendations for Organisations and Policymakers,,,,10.1007/16495_2023_61,Jason D. SchloetzerKyoko Yoshinaga,2023,http://link.springer.com/chapter/10.1007/16495_2023_61,Chapter,,
Embryonic Stem Cells in Clinical Trials: Current Overview of Developments and Challenges,"Cell Biology and Translational Medicine, Volume 11",,,10.1007/5584_2020_592,Ali GolchinAlexia ChatziparasidouParviz RanjbarvanZahra NiknamAbdolreza Ardeshirylajimi,2021,http://link.springer.com/chapter/10.1007/5584_2020_592,Chapter,,
Advanced Nanotechnology Approaches as Emerging Tools in Cellular-Based Technologies,"Cell Biology and Translational Medicine, Volume 18",,,10.1007/5584_2022_725,Mehdi Soleymani-GoloujehSamaneh HosseiniMohamadreza Baghaban Eslaminejad,2023,http://link.springer.com/chapter/10.1007/5584_2022_725,Chapter,,
Extinction Learning Across Development: Neurodevelopmental Changes and Implications for Pediatric Anxiety Disorders,,,,10.1007/7854_2023_430,Elizabeth R. KittPaola OdriozolaDylan G. Gee,2023,http://link.springer.com/chapter/10.1007/7854_2023_430,Chapter,,
Handbook of Cardiovascular Behavioral Medicine,,,,10.1007/978-0-387-85960-6,Shari R. WaldsteinWillem J. KopEdward C. SuarezWilliam R. LovalloLeslie I. Katzel,2022,http://link.springer.com/referencework/10.1007/978-0-387-85960-6,ReferenceWork,,
Asymmetric Innervation of the Heart,Handbook of Cardiovascular Behavioral Medicine,,,10.1007/978-0-387-85960-6_43,Richard D. LaneHugo CritchleyPeter Taggart,2022,http://link.springer.com/referenceworkentry/10.1007/978-0-387-85960-6_43,ReferenceWorkEntry,,
Public Health Ethics and Disability: Centering Disability Justice,Public Health Perspectives on Disability,,,10.1007/978-1-0716-0888-3_6,Bill GaventaDevan StahlKatherine McDonald,2021,http://link.springer.com/chapter/10.1007/978-1-0716-0888-3_6,Chapter,,
Enzyme Kinetics in Drug Metabolism,Methods in Molecular Biology,,,10.1007/978-1-0716-1554-6,Swati NagarUpendra A. ArgikarDr. Donald Tweedie,2021,http://link.springer.com/book/10.1007/978-1-0716-1554-6,Book,,
Recommender Systems Handbook,,,,10.1007/978-1-0716-2197-4,Dr. Francesco RicciProf. Lior RokachProf. Bracha Shapira,2022,http://link.springer.com/book/10.1007/978-1-0716-2197-4,Book,,
Embryonic Stem Cell Protocols,Methods in Molecular Biology,,,10.1007/978-1-0716-2437-1,Kursad Turksen,2022,http://link.springer.com/book/10.1007/978-1-0716-2437-1,Book,,
Infectious Diseases,Encyclopedia of Sustainability Science and Technology Series,,,10.1007/978-1-0716-2463-0,Lester M Shulman,2023,http://link.springer.com/referencework/10.1007/978-1-0716-2463-0,ReferenceWork,,
Sustainable Radical Cure of the Latent Malarias,Infectious Diseases,,,10.1007/978-1-0716-2463-0_896,J. Kevin Baird,2023,http://link.springer.com/referenceworkentry/10.1007/978-1-0716-2463-0_896,ReferenceWorkEntry,,
Cell Migration in Three Dimensions,Methods in Molecular Biology,,,10.1007/978-1-0716-2887-4,Coert Margadant,2023,http://link.springer.com/book/10.1007/978-1-0716-2887-4,Book,,
