,Unnamed: 0,Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,ISBN,ISSN,Date,Date Added,Date Modified,Pages,Series,Publisher,Key,Eligibility_Abstract_Score,Eligibility_Keywords_Score,Eligibility_Title_Score,Eligibility_Score
0,0,Implementing Artificial Intelligence Ethics In&nbsp;Trustworthy System Development - Making AI Ethics A&nbsp;Business Case,"Product-Focused Software Process Improvement: 23rd International Conference, PROFES 2022, Jyväskylä, Finland, November 21–23, 2022, Proceedings",,,10.1007/978-3-031-21388-5_52,"Agbese, Mamia",2022.0,https://doi.org/10.1007/978-3-031-21388-5_52,conferencePaper,"Software businesses struggle to implement AI ethics or ethical requirements in their development and engineering of AI. Current tools mainly focus on the technical level, with scarce resources identified for the different groups across software business organizations. This study focuses on developing a proposed solution, the ethical requirement stack, as a toolkit software businesses can leverage to implement ethical requirements. The tool aims to improve the understanding and visibility of AI ethics by serving as a go-to in interpreting AI ethics guidelines, thereby reducing the gap in transitioning AI ethics from principles to practice.",AI Ethics; AI ethics principles; Artificial Intelligence; Ethical requirement stack; Ethical requirements; Software businesses,978-3-031-21387-8,,2022,2023-11-06 01:29:48,2023-11-06 01:29:48,656–661,,Springer-Verlag,RCRK9GYA,0.2340425531914893,0.8571428571428571,0.3846153846153846,0.3424100294013188
1,1,An AI Ethics Course Highlighting Explicit Ethical Agents,"Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3461702.3462552,"Green, Nancy",2021.0,https://doi.org/10.1145/3461702.3462552,conferencePaper,"This is an experience report describing a pilot AI Ethics course for undergraduate computer science majors. In addition to teaching students about different ethical approaches and using them to analyze ethical issues, the course covered how ethics has been incorporated into the implementation of explicit ethical agents, and required students to implement an explicit ethical agent for a simple application. This report describes the course objectives and design, the topics covered, and a qualitative evaluation with suggestions for future offerings of the courses.",AI ethics; ethics education; explicit ethical agents,978-1-4503-8473-5,,2021,2023-11-06 01:29:48,2023-11-06 01:29:48,519–524,AIES '21,Association for Computing Machinery,KXWK8WI4,0.2048192771084337,1.1428571428571428,0.75,0.3223127430356346
2,2,AI Ethics: A Call to Faculty,Commun. ACM,64.0,9,10.1145/3478516,"Nourbakhsh, Illah Reza",2021.0,https://doi.org/10.1145/3478516,journalArticle,Integrating ethics into artificial intelligence education and development.,,,0001-0782,2021-08,2023-11-06 01:29:48,2023-11-06 01:29:48,43–45,,,V53QT6FN,0.25,0.0,0.5,0.3186274509803921
4,4,Ethical Requirements Stack: A Framework for Implementing Ethical Requirements of AI in Software Engineering Practices,Proceedings of the 27th International Conference on Evaluation and Assessment in Software Engineering,,,10.1145/3593434.3593489,"Agbese, Mamia; Mohanani, Rahul; Khan, Arif Ali; Abrahamsson, Pekka",2023.0,https://doi.org/10.1145/3593434.3593489,conferencePaper,"""The ethical requirements stack uses an Agile portfolio manage- ment framework based on agile scrum practices of themes, epics, features, and stories [3, 5] for a practical and hands-on approach to implementing ethical requirements of artificial intelligence (AI) into software engineering (SE) management practices. The frame- work is conceptualized as spread across actor groups of higher-level management (strategy level activities), middle-level management (product management activities), operational or development levels, and individual or team levels. The executive or strategy layer corresponds to the themes layer in the Agile portfolio management framework. This layer creates strategic, ethical requirements for the business. Ethical require- ments are determined at this stage using appropriate ethical frame- works or tools based on AI ethics guidelines and principles to create a central or strategic ethical requirements theme. """,AI ethics; AI ethics principles; Ethical requirements; AI; Agile portfolio management; Ethical requirements stack,9798400700446,,2023,2023-11-06 01:30:00,2023-11-06 01:30:00,326–328,EASE '23,Association for Computing Machinery,N49EFHB9,0.1679389312977099,0.9285714285714286,0.4666666666666667,0.2708347757488573
5,5,Implementing AI Ethics: Making Sense of the Ethical Requirements,Proceedings of the 27th International Conference on Evaluation and Assessment in Software Engineering,,,10.1145/3593434.3593453,"Agbese, Mamia; Mohanani, Rahul; Khan, Arif; Abrahamsson, Pekka",2023.0,https://doi.org/10.1145/3593434.3593453,conferencePaper,"Society’s increasing dependence on Artificial Intelligence (AI) and AI-enabled systems require a more practical approach from software engineering (SE) executives in middle and higher-level management to improve their involvement in implementing AI ethics by making ethical requirements part of their management practices. However, research indicates that most work on implementing ethical requirements in SE management primarily focuses on technical development, with scarce findings for middle and higher-level management. We investigate this by interviewing ten Finnish SE executives in middle and higher-level management to examine how they consider and implement ethical requirements. We use ethical requirements from the European Union (EU) Trustworthy Ethics guidelines for Trustworthy AI as our reference for ethical requirements and an Agile portfolio management framework to analyze implementation. Our findings reveal a general consideration of privacy and data governance ethical requirements as legal requirements with no other consideration for ethical requirements identified. The findings also show practicable consideration of ethical requirements as technical robustness and safety for implementation as risk requirements and societal and environmental well-being for implementation as sustainability requirements. We examine a practical approach to implementing ethical requirements using the ethical risk requirements stack employing the Agile portfolio management framework.",Agile portfolio management; AI; AI ethics; AI ethics principles; Ethical requirements; Ethical requirements stack,9798400700446,,2023,2023-11-06 01:29:48,2023-11-06 01:29:48,62–71,EASE '23,Association for Computing Machinery,EVKFC8AL,0.2,0.9285714285714286,0.6666666666666666,0.2671024151287309
6,6,AI Ethics - Critical Reflections on Embedding Ethical Frameworks in AI Technology,"Culture and Computing. Design Thinking and Cultural Computing: 9th International Conference, C&amp;C 2021, Held as Part of the 23rd HCI International Conference, HCII 2021, Virtual Event, July 24–29, 2021, Proceedings, Part II",,,10.1007/978-3-030-77431-8_20,"Salo-Pöntinen, Henrikki",2021.0,https://doi.org/10.1007/978-3-030-77431-8_20,conferencePaper,"Embedding ethical frameworks in artificial intelligence (AI) technologies has been a popular topic for academic research for the past decade [1–7]. The approaches of the studies differ in how AI technology, ethics, role of technical artefacts and socio-technical aspects of AI are perceived. In addition, most studies define insufficiently what the connection between the process of embedding ethical frameworks to AI technology and the larger framework of AI ethics is. These deficiencies have caused that the concept of AI ethics and the construct of embedding ethical parameters into AI are used in an ambiguous, rather than in a complementary manner.One reason for the ambiguity within this field of research is due to a lack of a comprehensive conceptual framework for AI ethics in general. I intend to fill this void by grounding AI ethics as a subfield of philosophy of technology and applied ethics and presenting its main issues of study by examining recognized spheres of activities through the method of levels of abstraction [8]. I put forward an initial hierarchical conceptual framework for AI ethics as an outcome. After this, I discuss the connection between the process of embedding ethical frameworks in AI and the larger AI ethics framework, leading to presenting basic requirements for the sphere of activity hereafter known as embedded ethics.",AI ethics; Applied ethics; Embedded ethics; Human-technology interaction,978-3-030-77430-1,,2021,2023-11-06 01:29:48,2023-11-06 01:29:48,311–329,,Springer-Verlag,T2JKNGZ8,0.1953488372093023,0.875,0.5833333333333334,0.2483228832916864
7,7,Recommender Systems and Their Ethical Challenges,AI Soc.,35.0,4,10.1007/s00146-020-00950-y,"Milano, Silvia; Taddeo, Mariarosaria; Floridi, Luciano",2020.0,https://doi.org/10.1007/s00146-020-00950-y,journalArticle,"This article presents the first, systematic analysis of the ethical challenges posed by recommender systems through a literature review. The article identifies six areas of concern, and maps them onto a proposed taxonomy of different kinds of ethical impact. The analysis uncovers a gap in the literature: currently user-centred approaches do not consider the interests of a variety of other stakeholders—as opposed to just the receivers of a recommendation—in assessing the ethical impacts of a recommender system.",Digital ethics; Artificial intelligence; Machine learning; Algorithms; Ethical trade-offs; Ethics of recommendation; Recommender systems,,0951-5666,2020-12,2023-11-06 01:30:02,2023-11-06 01:30:02,957–967,,,7PFBW3QX,0.1168831168831168,0.6428571428571429,0.5,0.2455270051836575
8,8,A Principlist Framework for Cybersecurity Ethics,Comput. Secur.,109.0,C,10.1016/j.cose.2021.102382,"Formosa, Paul; Wilson, Michael; Richards, Deborah",2021.0,https://doi.org/10.1016/j.cose.2021.102382,journalArticle,"The ethical issues raised by cybersecurity practices and technologies are of critical importance. However, there is disagreement about what is the best ethical framework for understanding those issues. In this paper we seek to address this shortcoming through the introduction of a principlist ethical framework for cybersecurity that builds on existing work in adjacent fields of applied ethics, bioethics, and AI ethics. By redeploying the AI4People framework, we develop a domain-relevant specification of five ethical principles in cybersecurity: beneficence, non-maleficence, autonomy, justice, and explicability. We then illustrate the advantages of this principlist framework by examining the ethical issues raised by four common cybersecurity contexts: penetration testing, distributed denial of service attacks (DDoS), ransomware, and system administration. These case analyses demonstrate the utility of this principlist framework as a basis for understanding cybersecurity ethics and for cultivating the ethical expertise and ethical sensitivity of cybersecurity professionals and other stakeholders.",AI ethics; Privacy; Cybersecurity ethics; DDoS attacks; Penetration testing; Principlism; Ransomware,,0167-4048,2021-10,2023-11-06 01:29:59,2023-11-06 01:29:59,,,,VXFLFHHR,0.2027027027027027,0.5454545454545454,0.3333333333333333,0.2349071940017134
10,10,"Operationalising AI Ethics: Barriers, Enablers and next Steps",AI Soc.,38.0,1,10.1007/s00146-021-01308-8,"Morley, Jessica; Kinsey, Libby; Elhalal, Anat; Garcia, Francesca; Ziosi, Marta; Floridi, Luciano",2021.0,https://doi.org/10.1007/s00146-021-01308-8,journalArticle,"By mid-2019 there were more than 80 AI ethics guides available in the public domain. Despite this, 2020 saw numerous news stories break related to ethically questionable uses of AI. In part, this is because AI ethics theory remains highly abstract, and of limited practical applicability to those actually responsible for designing algorithms and AI systems. Our previous research sought to start closing this gap between the ‘what’ and the ‘how’ of AI ethics through the creation of a searchable typology of tools and methods designed to translate between the five most common AI ethics principles and implementable design practices. Whilst a useful starting point, that research rested on the assumption that all AI practitioners are aware of the ethical implications of AI, understand their importance, and are actively seeking to respond to them. In reality, it is unclear whether this is the case. It is this limitation that we seek to overcome here by conducting a mixed-methods qualitative analysis to answer the following four questions: what do AI practitioners understand about the need to translate ethical principles into practice? What motivates AI practitioners to embed ethical principles into design practices? What barriers do AI practitioners face when attempting to translate ethical principles into practice? And finally, what assistance do AI practitioners want and need when translating ethical principles into practice?",AI ethics; Applied ethics; Business ethics; Ethical practices; Ethical principles,,0951-5666,2021-11,2023-11-06 01:29:48,2023-11-06 01:29:48,411–423,,,XQQGTU4X,0.1583710407239819,1.3,0.375,0.2250921974267562
11,11,User Perspectives on Ethical Challenges in Human-AI Co-Creativity: A Design Fiction Study,Proceedings of the 15th Conference on Creativity and Cognition,,,10.1145/3591196.3593364,"Rezwana, Jeba; Maher, Mary Lou",2023.0,https://doi.org/10.1145/3591196.3593364,conferencePaper,"In a human-AI co-creation, AI not only categorizes, evaluates and interprets data but also generates new content and interacts with humans. As co-creative AI is a form of intelligent technology that directly involves humans, it is critical to anticipate and address ethical issues during all design stages. The open-ended nature of human-AI interactions in co-creation poses many challenges for designing ethical co-creative AI systems. Researchers have been exploring ethical issues associated with autonomous AI in recent years, but ethics in human-AI co-creativity is a relatively new research area. In order to design human-centered ethical AI, it is important to understand the perspectives, expectations, and ethical concerns of potential users. In this paper, we present a study with 18 participants to explore several ethical dilemmas and challenges in human-AI co-creation from the perspective of potential users using a design fiction (DF) methodology. DF is a speculative research method that depicts a new concept or technology through stories as an intangible prototype. We present the findings from the study as potential users’ perspectives, stances, and expectations around ethical challenges in human-AI co-creativity as a basis for designing human-centered ethical AI partners for human-AI co-creation.",AI Ethics; Co-creativity; Design Fiction; Ethical AI; Ethical Issues; Human-AI Co-Creation,9798400701801,,2023,2023-11-06 01:30:01,2023-11-06 01:30:01,62–74,C&amp;C '23,Association for Computing Machinery,9N22T8PQ,0.171875,0.9090909090909092,0.25,0.2207759718600279
