,Unnamed: 0,Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,Date,Date Added,Date Modified,Pages,Extra,Key,Eligibility_Abstract_Score,Eligibility_Title_Score,Eligibility_Score
0,0,"Managerial Ethical Leadership, Ethical Climate and Employee Ethical Behavior: Does Moral Attentiveness Matter?",Ethics and Behavior,31.0,8,10.1080/10508422.2021.1937628,"Fattah, Fadi Abdel Muniem Abdel; Morales-Sánchez, Rafael; Ruiz-Palomino, Pablo; Halbusi, Hussam Al",2021.0,https://www.tandfonline.com/doi/full/10.1080/10508422.2021.1937628,journalArticle,"Ethical leaders can influence followers’ ethical behaviors by establishing an ethical climate. However, followers’ responses to an ethical climate may also differ according to the amount of attention they devote to moral questions. This study analyzes whether moral attentiveness augments the positive effect of an ethical climate on employees’ ethical behaviors, as well as the indirect effect of ethical leadership on employee ethical behavior through an ethical climate. Data from 270 employees in the Malaysian manufacturing industry indicate that the positive impact of an ethical climate on ethical behavior is greater among employees who exhibit high rather than low moral attentiveness; this moderating role also applies to the relationship between ethical leadership and employee ethical behavior through the ethical climate. This study thus sheds new light on the notable role of moral attentiveness in ensuring that ethical leadership and ethical climate enhance ethical behavior in the workplace.",,2021.0,2023-11-06 14:05:11,2023-11-06 14:05:11,604–627,Publisher: Routledge,BMNWBTMZ,0.3537414965986394,0.6923076923076923,0.3870530185378128
1,1,Ethical Leadership and Employees? Ethical Behavior,Business and Professional Ethics Journal,42.0,1,10.5840/bpej202344135,"Halbusi, Hussam Al; Alhaidan, Homoud; Ramayah, T.; AlAbri, Salem",2023.0,http://www.pdcnet.org/oom/service?url_ver=Z39.88-2004&rft_val_fmt=&rft.imuse_id=bpej_2023_0042_0001_0001_0031&svc_id=info:www.pdcnet.org/collection,journalArticle,"Ethical scandals, as well as unethical behaviour, are becoming major concerns in recent times. Thus, this study focused on the role of ethical climate and employees’ moral identity. Specifically, this study examined the mediation effect of ethical climate on the relationship between ethical leadership and employees’ ethical behaviour. Also, the study investigated the moderating role of employee moral identity on the relationship between ethical climate and employees’ ethical behaviour. Data were collected from 620 full-time employees working at thirty-three Iraqi organisations from five Iraqi provinces. These organisations were from various industry sectors such as manufacturing, retailing, medical, insurance, information technology, legal, finance, and telecommunication sectors. The study found that ethical leadership impacted on the ethical behaviour of employees and the ethical climate also significantly mediated the relationship between ethical leadership and employees’ ethical behaviour. The moderating role of moral identity on the relationship between ethical climate and ethical behaviour was found to be insignificant in this context.",,2023.0,2023-11-06 14:10:26,2023-11-06 14:10:26,1–31,,MVWUW7QA,0.2738853503184713,1.0,0.3039397646264816
2,2,Artificial Intelligent Systems and Ethical Agency,Journal of Human Values,29.0,1,10.1177/09716858221119546,"Cheruvalath, Reena",2023.0,http://journals.sagepub.com/doi/10.1177/09716858221119546,journalArticle,"The article examines the challenges involved in the process of developing artificial ethical agents. The process involves the creators or designing professionals, the procedures to develop an ethical agent and the artificial systems. There are two possibilities available to create artificial ethical agents: (a) programming ethical guidance in the artificial Intelligence (AI)-equipped machines and/or (b) allowing AI-equipped machines to learn ethical decision-making by observing humans. However, it is difficult to fulfil these possibilities due to the subjective nature of ethical decision-making. The challenge related to the developers is that they themselves lack training in ethical skills. The creators who develop an artificial ethical agent should be able to foresee the ethical issues and have knowledge about ethical decision-making to improve the ethical use of AI-equipped machines. The suggestion is that the focus should be on training professionals involved in the process of developing these artificial systems in ethics rather than developing artificial ethical agents and thereby attributing ethical agency to it.",,2023.0,2023-11-06 14:10:27,2023-11-06 14:10:27,33–47,Publisher: SAGE Publications,VYCPMM9S,0.2546583850931677,0.5,0.2648118809803592
3,3,Why Should Ethical Behaviors Be the Ultimate Goal of Engineering Ethics Education?,Business and Professional Ethics Journal,42.0,1,10.5840/bpej202346136,"Clancy, Rockwell Franklin; Zhu, Qin",2023.0,http://www.pdcnet.org/oom/service?url_ver=Z39.88-2004&rft_val_fmt=&rft.imuse_id=bpej_2023_0042_0001_0033_0053&svc_id=info:www.pdcnet.org/collection,journalArticle,"Ethics is crucial to engineering, although disagreement exists concerning the form engineering ethics education should take. In part, this results from disagreements about the goal of this education, which inhibit the development of and progress in cohesive research agendas and practices. In this regard, engineering ethics faces challenges like other professional ethics. To address these issues, this paper argues that the ultimate goal of engineering ethics education should be more long-term ethical behaviors, but that engineering ethics must more fully engage with the fields of empirical moral and cultural psychology to do so. It begins by considering reasons for adopting ethical behaviors as the ultimate goal of ethics education, and moves on to discuss why ethical behaviors have not been adopted as the goal of ethics education. The paper ends by considering responses to these problems, why ethical behaviors should still be adopted as the ultimate goal of ethics education.",,2023.0,2023-11-06 14:10:27,2023-11-06 14:10:27,33–53,,4WTVSKX8,0.2,0.4166666666666667,0.2165888577653283
4,4,Ethical Issues in Democratizing Digital Phenotypes and Machine Learning in the Next Generation of Digital Health Technologies,Philosophy and Technology,34.0,4,10.1007/s13347-021-00445-8,"Mulvenna, Maurice D.; Bond, Raymond; Delaney, Jack; Dawoodbhoy, Fatema Mustansir; Boger, Jennifer; Potts, Courtney; Turkington, Robin",2021.0,https://link.springer.com/10.1007/s13347-021-00445-8,journalArticle,"Digital phenotyping is the term given to the capturing and use of user log data from health and wellbeing technologies used in apps and cloud-based services. This paper explores ethical issues in making use of digital phenotype data in the arena of digital health interventions. Products and services based on digital wellbeing technologies typically include mobile device apps as well as browser-based apps to a lesser extent, and can include telephony-based services, text-based chatbots, and voice-activated chatbots. Many of these digital products and services are simultaneously available across many channels in order to maximize availability for users. Digital wellbeing technologies offer useful methods for real-time data capture of the interactions of users with the products and services. It is possible to design what data are recorded, how and where it may be stored, and, crucially, how it can be analyzed to reveal individual or collective usage patterns. The paper also examines digital phenotyping workflows, before enumerating the ethical concerns pertaining to different types of digital phenotype data, highlighting ethical considerations for collection, storage, and use of the data. A case study of a digital health app is used to illustrate the ethical issues. The case study explores the issues from a perspective of data prospecting and subsequent machine learning. The ethical use of machine learning and artificial intelligence on digital phenotype data and the broader issues in democratizing machine learning and artificial intelligence for digital phenotype data are then explored in detail.",,2021.0,2023-11-06 14:05:11,2023-11-06 14:05:11,1945–1960,Publisher: Springer Verlag,4UZY4DMG,0.1900826446280991,0.4117647058823529,0.2059533534807806
5,5,Advertising Benefits From Ethical Artificial Intelligence Algorithmic Purchase Decision Pathways,Journal of Business Ethics,178.0,4,10.1007/s10551-022-05048-7,"Rodgers, Waymond; Nguyen, Tam",2022.0,https://link.springer.com/10.1007/s10551-022-05048-7,journalArticle,"Artificial intelligence (AI) has dramatically changed the way organizations communicate, understand, and interact with their potential consumers. In the context of this trend, the ethical considerations of advertising when applying AI should be the core question for marketers. This paper discusses six dominant algorithmic purchase decision pathways that align with ethical philosophies for online customers when buying a product/goods. The six ethical positions include: ethical egoism, deontology (i.e., rule-based), relativist, utilitarianism, virtue ethics, and ethics of care (i.e., stakeholders’ perspective). Furthermore, this paper launches an “intelligent advertising” AI theme by examining its present and future as well as identifying the key phases of intelligent advertising. Several research questions are offered to guide future research on intelligent advertising to benefit ethical AI decision-making. Finally, several areas that can be widely applied to ethical intelligent advertising are suggested for future research.",,2022.0,2023-11-06 14:09:49,2023-11-06 14:09:49,1043–1061,Publisher: Springer Verlag,6ANUK3R3,0.1870503597122302,0.3,0.1966038094634424
6,6,From Machine Ethics to Computational Ethics,AI and Society,36.0,1,10.1007/s00146-020-01010-1,"Segun, Samuel T.",2021.0,https://link.springer.com/10.1007/s00146-020-01010-1,journalArticle,"Research into the ethics of artificial intelligence is often categorized into two subareas—robot ethics and machine ethics. Many of the definitions and classifications of the subject matter of these subfields, as found in the literature, are conflated, which I seek to rectify. In this essay, I infer that using the term ‘machine ethics’ is too broad and glosses over issues that the term computational ethics best describes. I show that the subject of inquiry of computational ethics is of great value and indeed is an important frontier in developing ethical artificial intelligence systems (AIS). I also show that computational is a distinct, often neglected field in the ethics of AI. In contrast to much of the literature, I argue that the appellation ‘machine ethics’ does not sufficiently capture the entire project of embedding ethics into AI/S, and hence the need for computational ethics. This essay is unique for two reasons; first, it offers a philosophical analysis of the subject of computational ethics that is not found in the literature. Second, it offers a finely grained analysis that shows the thematic distinction among robot ethics, machine ethics and computational ethics.",,2021.0,2023-11-06 14:05:11,2023-11-06 14:05:11,263–276,,R5ZH9II3,0.1693121693121693,0.6666666666666666,0.1865870024189894
7,7,"Ethical Issues in Research: Perceptions of Researchers, Research Ethics Board Members and Research Ethics Experts",Journal of Academic Ethics,21.0,2,10.1007/s10805-022-09455-3,"Drolet, Marie-Josée; Rose-Derouin, Eugénie; Leblanc, Julie-Claude; Ruest, Mélanie; Williams-Jones, Bryn",2023.0,https://link.springer.com/10.1007/s10805-022-09455-3,journalArticle,"In the context of academic research, a diversity of ethical issues, conditioned by the different roles of members within these institutions, arise. Previous studies on this topic addressed mainly the perceptions of researchers. However, to our knowledge, no studies have explored the transversal ethical issues from a wider spectrum, including other members of academic institutions as the research ethics board (REB) members, and the research ethics experts. The present study used a descriptive phenomenological approach to document the ethical issues experienced by a heterogeneous group of Canadian researchers, REB members, and research ethics experts. Data collection involved socio-demographic questionnaires and individual semi-structured interviews. Following the triangulation of different perspectives (researchers, REB members and ethics experts), emerging ethical issues were synthesized in ten units of meaning: (1) research integrity, (2) conflicts of interest, (3) respect for research participants, (4) lack of supervision and power imbalances, (5) individualism and performance, (6) inadequate ethical guidance, (7) social injustices, (8) distributive injustices, (9) epistemic injustices, and (10) ethical distress. This study highlighted several problematic elements that can support the identification of future solutions to resolve transversal ethical issues in research that affect the heterogeneous members of the academic community.",,2023.0,2023-11-06 14:10:26,2023-11-06 14:10:26,269–292,Publisher: Springer Verlag,5BG8NK2Q,0.1538461538461538,0.4666666666666667,0.1763612608198595
8,8,Ethics in Science and Technology Policy-Making: A Proposed Normative Framework,"Bulletin of Science, Technology and Society",42.0,4,10.1177/02704676221137307,"Khedmatgozar, Hamid Reza; Sharifzadeh, Rahman; Namdarian, Leila",2022.0,http://journals.sagepub.com/doi/10.1177/02704676221137307,journalArticle,"In the twenty-first century, the focus of science and technology (S&T) on the human interests and the accessible interests of society, and so the rise of some questions concerning the impact of S&T on social norms, has led to embedding ethical debates in S&T policy-making. The ethics of S&T policy-making, as a representation of the relationship between ethics and S&T policy-making, is a relatively new area of applied and professional ethics that addresses the dilemmas and ethical challenges of the S&T policy-making process. Understanding and recognizing the ethical components of S&T policy-making, one can develop a normative framework to assist policymakers in designing and analyzing ethical policies in the S&T field. The design and development of such a framework is the main purpose of the present study. In this study, the components of the proposed framework for ethical policy-making in S&T, their ethical and policy approaches, as well as their fundamental ethical and policy principles have been identified through studying sources and texts related to meta-ethics, normative ethics, and S&T ethics. Then, these components have been categorized in the form of steps for ethical policy-making using the thematic analysis method. Based on the results of this study, the ethical policy-making steps in S&T include problem identification, information gathering and feeding of the policy process, policy advice and policy formulation, policy implementation, and policy evaluation, which follow 9 ethical principles and 13 policy principles.",,2022.0,2023-11-06 14:09:50,2023-11-06 14:09:50,117–132,Publisher: SAGE Publications,6WVQPFEH,0.1716738197424892,0.2,0.1730293056689223
9,9,Practice of Common Ethical Standards in the Field of Counseling and Psychotherapy in Mainland China,Ethics and Behavior,33.0,3,10.1080/10508422.2022.2118120,"An, Qin; Lin, Xiubin; Sang, Zhiqin; Qian, Mingyi",2023.0,https://www.tandfonline.com/doi/full/10.1080/10508422.2022.2118120,journalArticle,"This paper will first introduce the development of professional ethics of counseling and psychotherapy in mainland China. Ethical awareness is often limited due to variations in training experiences. Aligning with ethics codes can also bring challenges due to nuances within Chinese culture. Furthermore, the authors discuss the ethical challenges regarding the principles of multiple relationships, informed consent, and confidentiality in the context of Chinese culture. These ethical issues are often discussed within an individualistic cultural frame and presentation from a collectivist culture offers a unique perspective in the ethics literature.",,2023.0,2023-11-06 14:10:28,2023-11-06 14:10:28,183–192,Publisher: Routledge,6HYXX62I,0.1666666666666666,0.2,0.1710549645390071
