,Unnamed: 0.1,Unnamed: 0,Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,Eligibility_Abstract_Score,Eligibility_Title_Score,Eligibility_Score
4,4,4,Military Ethics,"Global Encyclopedia of Public Administration, Public Policy, and Governance",,,10.1007/978-3-030-66252-3_2337,Manfred F. MeineThomas P. Dunn,2022.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-66252-3_2337,ReferenceWorkEntry,Ethical warfare; Military ethic; Military ethical challenges; Organization evil; Organizational ethics climate; Professional ethics,,0.7142857142857143,1.0,0.7436399217221135
28,29,29,Ethics Officers,"Global Encyclopedia of Public Administration, Public Policy, and Governance",,,10.1007/978-3-030-66252-3_2378,Tim C. Mazur,2022.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-66252-3_2378,ReferenceWorkEntry,Chief compliance officers; Chief ethics and compliance officers; Chief ethics officers; Compliance and ethics officers; Compliance officers; Ethics and compliance officers; Integrity officers,,0.3478260869565217,1.0,0.3953144786829886
29,30,30,Ethical AI Implementation,AI for the Good,,,10.1007/978-3-030-66913-3_11,Stefan H. Vieweg,2021.0,http://link.springer.com/chapter/10.1007/978-3-030-66913-3_11,Chapter,"A framing to safeguard ethical AI is being proposed with the “House of Ethical AI.” Its key elements that focus on trust, enlightenment, and accountability are discussed and illustrated with various examples. Finally, an implementation roadmap toward ethical AI is been proposed.",,0.3095238095238095,1.3333333333333333,0.393718671679198
33,36,36,Translating Principles into Practices of Digital Ethics: Five Risks of Being Unethical,"Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_6,Luciano Floridi,2021.0,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_6,Chapter,"In this chapter, I argue that in translating ethical principles for digital technologies into ethical practices, even the best efforts may be undermined by some unethical risks. Five of them are already encountered or foreseeable in the international debate about digital ethics: (1) ethics shopping; (2) ethics bluewashing; (3) ethics lobbying; (4) ethics dumping; and (5) ethics shirking.",,0.3793103448275862,0.3333333333333333,0.3710035738433304
34,37,37,Pharmacy Ethics,Dictionary of Global Bioethics,,,10.1007/978-3-030-54161-3_405,Henk ten HaveMaria do Céu Patrão Neves,2021.0,http://link.springer.com/chapter/10.1007/978-3-030-54161-3_405,Chapter,"Pharmacy ethics refers to the ethical standards (behavior considered right, appropriate, and desirable) for the practice of pharmacy.",,0.2777777777777778,1.0,0.350975975975976
35,38,38,Ethical Issues in Psychocardiology,Psychocardiology,,,10.1007/978-3-662-65322-7_3,Peter Kampits,2022.0,http://link.springer.com/chapter/10.1007/978-3-662-65322-7_3,Chapter,"In the article, the ethical issues relevant to psychocardiology are doctor-patient relationship, end-of-life issues, transplantation, and ethics and economics.",,0.2631578947368421,0.75,0.3489228251977093
36,39,39,"Religion, Pandemics and Ethics. A Diaconal-Ethical Perspective on the Covid-19 Pandemic",Pandemics and Ethics,,,10.1007/978-3-662-66872-6_19,Ulrich H. J. Körtner,2023.0,http://link.springer.com/chapter/10.1007/978-3-662-66872-6_19,Chapter,"The crisis caused by the Corona pandemic is a medical, political, social and economic, but also an ethical challenge and test. It is not only about questions of medical ethics, nursing ethics and ethics in healthcare in general. The Corona crisis touches on social ethical, but also individual ethical, personal ethical and environmental ethical aspects in a very comprehensive way.",,0.35,0.1818181818181818,0.3188020934289591
37,40,40,Business Ethics: A European Review,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_295,Alex C. Michalos,2023.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_295,ReferenceWorkEntry,European business ethics journal; European journal on social responsibility of business; Journal on business ethics for Europeans,,0.2941176470588235,0.4,0.3162035366293756
38,41,41,Ethics and Social Policy,"Global Encyclopedia of Public Administration, Public Policy, and Governance",,,10.1007/978-3-030-66252-3_2402,Anthony Bibus IIIMary S. Carlsen,2022.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-66252-3_2402,ReferenceWorkEntry,Applied Ethics; Citizenship; Codes of Ethics; Duties; Ethical Decision Making; Frameworks for Analysis; Moral Philosophy; Morality; Policy Practice; Principles; Professional Ethics; Public Administration; Public Interests; Responsibilities; Rights; Standards; Values; Virtues,,0.3,0.5,0.3160535117056856
39,42,42,Publication Ethics,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_48,Virginia Barbour,2023.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_48,ReferenceWorkEntry,Publication ethics is best developed in relation to journals. Ethical issues may arise at any stage of the publication lifecycle and may...,,0.2272727272727272,1.0,0.315865662999421
40,43,43,Artificial intelligence and medical research databases: ethical review by data access committees,BMC Medical Ethics,24,1,10.1186/s12910-023-00927-8,Francis McKayBethany J. WilliamsGraham PrestwichDaljeet BansalDarren TreanorNina Hallowell,2023.0,http://link.springer.com/article/10.1186/s12910-023-00927-8,Article,Data access committees can undertake ethical review of medical research databases provided they enhance that review function through professional and lay ethical expertise.,,0.3043478260869565,0.3333333333333333,0.3147306943543153
46,50,50,Teaching Ethics Applied to AI from a Cultural Standpoint: What African “AI Ethics” for Africa?,AI Ethics in Higher Education: Insights from Africa and Beyond,,,10.1007/978-3-031-23035-6_2,Emmanuel R. Goffi,2023.0,http://link.springer.com/chapter/10.1007/978-3-031-23035-6_2,Chapter,"Ethics applied to Artificial Intelligence (AI), improperly called AI ethics, is mainly addressed through a Western perspective focusing on continental philosophy. As a result, discussions on ethics applied to AI are shaped by the West.",,0.2571428571428571,0.4,0.2979591836734693
48,52,52,European Business Ethics Network,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_274,Alex C. Michalos,2023.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_274,ReferenceWorkEntry,Business ethics organization for Europe; European organization for issues on social responsibility of business; European social responsibility of business organization; Professional business ethics organization,,0.25,0.5,0.2830578512396694
50,56,56,Big Data Ethics,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_1262,Mark RyanAna Fernandez Inguanzo,2023.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_1262,ReferenceWorkEntry,Mediated forms of information; Multiple forms of technology; Relevant categories of ethical consequences; Various forms of technology,,0.1764705882352941,1.0,0.2599364069952306
51,57,57,Big Data Ethics,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-319-23514-1_1262-1,Mark RyanAna Fernandez Inguanzo,2021.0,http://link.springer.com/referenceworkentry/10.1007/978-3-319-23514-1_1262-1,ReferenceWorkEntry,Mediated forms of information; Multiple forms of technology; Relevant categories of ethical consequences; Various forms of technology,,0.1764705882352941,1.0,0.2599364069952306
52,58,58,AI ethics: from principles to practice,AI & SOCIETY,,,10.1007/s00146-022-01602-z,Jianlong ZhouFang Chen,2022.0,http://link.springer.com/article/10.1007/s00146-022-01602-z,Article,"Much of the current work on AI ethics has lost its connection to the real-world impact by making AI ethics operable. There exist significant limitations of hyper-focusing on the identification of abstract ethical principles, lacking effective collaboration among stakeholders, and lacking the communication of ethical principles to real-world applications. This position paper presents challenges in making AI ethics operable and highlights key obstacles to AI ethics impact. A preliminary practice example is provided to initiate practical implementations of AI ethics. We aim to inspire discussions on making AI ethics operable and focus on its impact on real-world applications.",,0.2448979591836734,0.5,0.2583804036218103
54,60,60,In defense of ethical guidelines,AI and Ethics,3,3,10.1007/s43681-022-00244-7,Björn Lundgren,2023.0,http://link.springer.com/article/10.1007/s43681-022-00244-7,Article,"Recently, Luke Munn attacked “AI ethics” generally, or guidelines, principles, codes of ethics, ethical frameworks. In particular, he argued that ethical guidelines are useless. Here I respond to this critique, arguing that Munn’s criticism is mostly unfair and misguided, and that his own proposal is already implemented in various guidelines.",,0.22,0.6,0.2523404255319149
56,62,62,Corporate Digital Responsibility: Stimulating Human-Centric Innovation and Building Trust in the Digital World,Liquid Legal – Humanization and the Law,,,10.1007/978-3-031-14240-6_4,Martina Seidl,2022.0,http://link.springer.com/chapter/10.1007/978-3-031-14240-6_4,Chapter,"This article (1) highlights the development of Corporate Social Responsibility up into the digital era, (2) introduces Corporate Digital Responsibility as an emerging new field of corporate responsibility, (3) presents a framework of topics that are currently being discussed as building blocks of Corporate Digital Responsibility that aim to stimulate human-centric innovation and build trust in the digital world, and (4) provides some thoughts on how lawyers may contribute to shape corporate responsibility in the digital world.",,0.2077922077922078,0.4615384615384615,0.2512689802409428
57,63,63,Business Ethics for the Digital Era,Business Ethics and Digitization,,,10.1007/978-3-662-64094-4_1,Christoph Lütge,2022.0,http://link.springer.com/chapter/10.1007/978-3-662-64094-4_1,Chapter,"We are currently experiencing a fourth industrial revolution. In this paper, the great opportunities and challenges of change through digital technologies are presented. These ethical risks and benefits are classified and highlighted in the historical and economic ethical discourse. On this basis, the authors define a business ethics for digital technology, companies and markets. The aim of this chapter is to bridge the gap between the ethics of digitalization and business ethics that has not been made before. The main message of the chapter is that digital technologies need good ethical rules to experience social acceptance. People would benefit from the new technologies and experience ethical improvements. The fact that these changes will mainly be driven by companies makes business ethics a central discipline in the discussion of ethical challenges of digital change.",,0.2330827067669172,0.6666666666666666,0.2496317128699611
