,Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,ISBN,ISSN,Date,Date Added,Date Modified,Pages,Series,Publisher,Key,Eligibility_Abstract_Score,Eligibility_Keywords_Score,Eligibility_Title_Score,Eligibility_Score,Author Affiliations,Date Added To Xplore,Start Page,End Page,ISBNs,Funding Information,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Extra
0,An Integrated Framework for Ethical and Sustainable Digitalization,2021 Eighth International Conference on eDemocracy & eGovernment (ICEDEG),,,10.1109/ICEDEG52154.2021.9530972,I. Wallimann-Helmer; L. Terán; E. Portmann; H. Schübel; J. Pincay,2021.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9530972,IEEE Conferences,"Dynamically developing digitization initiatives among public institutions and private companies necessitate a balanced approach to digital ethics. Several frameworks and legal regulations have been adopted to clarify and define the various ethical challenges in digital contexts. These initiatives often accentuate one of three components: data security, data governance, or digital strategy. However, an integrated approach is required to meet the current demand for an ethical and sustainable approach to digitalization and address the growing number of challenges occurring in handling data and related peripheral components. This paper develops the concept of an integrated framework to incorporate all relevant aspects of digital ethics by combining three categories of digital contexts: law and regulations, ethics and justice, and environmental sustainability. The core of this integrated framework, the Fribourg sustainable digital ethics framework (FSDEF), consists of two boundary conditions of sustainable development: social thresholds of justice and ecological planetary boundaries. It also incorporates numerous other frameworks and standards, including value-based engineering and IEEE standards.",Digital ethics;sustainability;corporate digital responsibility,978-3-030-78269-6,2573-1998,2021,2023-11-06 01:30:04,2023-11-06 01:30:04,24–28,,IEEE,EJS6LDIG,0.1925465838509316,1.25,0.375,0.2505032957755626,"UniFR_ESH Institute, University of Fribourg, Fribourg, Switzerland; Human-IST Insitute, University of Fribourg, Fribourg, Switzerland; Human-IST Insitute, University of Fribourg, Fribourg, Switzerland; UniFR_ESH Institute, University of Fribourg, Fribourg, Switzerland; Human-IST Insitute, University of Fribourg, Fribourg, Switzerland",13 Sep 2021,156.0,162.0,978-1-6654-2512-4,,Ethics;Law;Data security;Green products;Companies;IEEE Standards;Regulation,data governance;environmental factors;ethical aspects;IEEE standards;law;public administration;security of data;sustainable development,sustainable digitalization;digitization initiatives;legal regulations;data security;data governance;digital strategy;peripheral components;justice;environmental sustainability;Fribourg sustainable digital ethics framework;sustainable development;ethical digitalization;data handling;law;regulations;ethics;FSDEF;value-based engineering;IEEE standards;public institutions;private companies,,2.0,20.0,IEEE,13 Sep 2021,
1,Ethical Leadership and Employees? Ethical Behavior,Business and Professional Ethics Journal,42.0,1.0,10.5840/bpej202344135,"Halbusi, Hussam Al; Alhaidan, Homoud; Ramayah, T.; AlAbri, Salem",2023.0,http://www.pdcnet.org/oom/service?url_ver=Z39.88-2004&rft_val_fmt=&rft.imuse_id=bpej_2023_0042_0001_0001_0031&svc_id=info:www.pdcnet.org/collection,journalArticle,"Ethical scandals, as well as unethical behaviour, are becoming major concerns in recent times. Thus, this study focused on the role of ethical climate and employees’ moral identity. Specifically, this study examined the mediation effect of ethical climate on the relationship between ethical leadership and employees’ ethical behaviour. Also, the study investigated the moderating role of employee moral identity on the relationship between ethical climate and employees’ ethical behaviour. Data were collected from 620 full-time employees working at thirty-three Iraqi organisations from five Iraqi provinces. These organisations were from various industry sectors such as manufacturing, retailing, medical, insurance, information technology, legal, finance, and telecommunication sectors. The study found that ethical leadership impacted on the ethical behaviour of employees and the ethical climate also significantly mediated the relationship between ethical leadership and employees’ ethical behaviour. The moderating role of moral identity on the relationship between ethical climate and ethical behaviour was found to be insignificant in this context.",,,2162-2256,2023.0,2023-11-06 14:10:26,2023-11-06 14:10:26,1–31,,IEEE,MVWUW7QA,0.2738853503184713,0.0,1.0,0.3039397646264816,"Colorado State University, Fort Collins, CO, USA",6 Jun 2023,12.0,20.0,,National Science Foundation(grant numbers:CNS-2132385); ,Artificial intelligence;Ethics;Medical services;Medical diagnostic imaging;Consumer electronics;Behavioral sciences;Safety,artificial intelligence;ethical aspects;health care,AI ethics;AI-based smart healthcare products;AI-driven healthcare;artificial intelligence;ethical principles;medical domain;medical electronic devices,,,38.0,IEEE,7 Nov 2022,
2,Design Science Research and Designing Ethical Guidelines for the SHAPES AI Developers,Procedia Comput. Sci.,192.0,C,10.1016/j.procs.2021.08.223,"Nevanperä, Minna; Rajamäki, Jyri; Helin, Jaakko",2021.0,https://doi.org/10.1016/j.procs.2021.08.223,journalArticle,"This article targets the design process of ethical guidelines for the SHAPES project (Smart and Healthy Aging through People Engaging in Supportive Systems) which is a H2020 Innovation Action project. The aim of the project is to build solutions that can make it easier for older individuals to live at home, such as, robots, wearables and sensor technologies that apply artificial intelligence (AI). The guiding method of the design process of ethical guidelines is Alan Hevner’s Design Science Research. Theoretical background consists of a form of literature overview, which contains the most relevant ethical theories and research on AI ethics, machine ethics and human rights. This article introduces the process of building the ethical guidelines for the SHAPES project and further discussion if providing guidelines is the sufficient tool to developers to take ethical action in development of the AI systems. The SHAPES guidelines include the following themes; accountability, transparency and explainability, diversity, inclusion and fairness, safety and security and societal wellbeing and humanity.",Design Science Reseach; Ethical Competence; Ethical Guidelines; SHAPES,,1877-0509,2021-01,2023-11-06 01:30:03,2023-11-06 01:30:03,2330–2339,,,9ZGXWGLX,0.1341463414634146,0.75,0.3333333333333333,0.1816468560255222,,,,,,,,,,,,,,,
3,Why Should Ethical Behaviors Be the Ultimate Goal of Engineering Ethics Education?,Business and Professional Ethics Journal,42.0,1.0,10.5840/bpej202346136,"Clancy, Rockwell Franklin; Zhu, Qin",2023.0,http://www.pdcnet.org/oom/service?url_ver=Z39.88-2004&rft_val_fmt=&rft.imuse_id=bpej_2023_0042_0001_0033_0053&svc_id=info:www.pdcnet.org/collection,journalArticle,"Ethics is crucial to engineering, although disagreement exists concerning the form engineering ethics education should take. In part, this results from disagreements about the goal of this education, which inhibit the development of and progress in cohesive research agendas and practices. In this regard, engineering ethics faces challenges like other professional ethics. To address these issues, this paper argues that the ultimate goal of engineering ethics education should be more long-term ethical behaviors, but that engineering ethics must more fully engage with the fields of empirical moral and cultural psychology to do so. It begins by considering reasons for adopting ethical behaviors as the ultimate goal of ethics education, and moves on to discuss why ethical behaviors have not been adopted as the goal of ethics education. The paper ends by considering responses to these problems, why ethical behaviors should still be adopted as the ultimate goal of ethics education.",,9798400700446,,2023.0,2023-11-06 14:10:27,2023-11-06 14:10:27,33–53,EASE '23,Wiley,4WTVSKX8,0.2,0.0,0.4166666666666667,0.2165888577653283,,,91.0,165.0,9781119831792,,Ethics;Artificial intelligence;Medical services;Companies;Technological innovation;Standards organizations;Law,,,,,,,12 Jul 2022,
4,Ethical Issues in Democratizing Digital Phenotypes and Machine Learning in the Next Generation of Digital Health Technologies,Philosophy and Technology,34.0,4.0,10.1007/s13347-021-00445-8,"Mulvenna, Maurice D.; Bond, Raymond; Delaney, Jack; Dawoodbhoy, Fatema Mustansir; Boger, Jennifer; Potts, Courtney; Turkington, Robin",2021.0,https://link.springer.com/10.1007/s13347-021-00445-8,journalArticle,"Digital phenotyping is the term given to the capturing and use of user log data from health and wellbeing technologies used in apps and cloud-based services. This paper explores ethical issues in making use of digital phenotype data in the arena of digital health interventions. Products and services based on digital wellbeing technologies typically include mobile device apps as well as browser-based apps to a lesser extent, and can include telephony-based services, text-based chatbots, and voice-activated chatbots. Many of these digital products and services are simultaneously available across many channels in order to maximize availability for users. Digital wellbeing technologies offer useful methods for real-time data capture of the interactions of users with the products and services. It is possible to design what data are recorded, how and where it may be stored, and, crucially, how it can be analyzed to reveal individual or collective usage patterns. The paper also examines digital phenotyping workflows, before enumerating the ethical concerns pertaining to different types of digital phenotype data, highlighting ethical considerations for collection, storage, and use of the data. A case study of a digital health app is used to illustrate the ethical issues. The case study explores the issues from a perspective of data prospecting and subsequent machine learning. The ethical use of machine learning and artificial intelligence on digital phenotype data and the broader issues in democratizing machine learning and artificial intelligence for digital phenotype data are then explored in detail.",,978-3-030-77430-1,,2021.0,2023-11-06 14:05:11,2023-11-06 14:05:11,1945–1960,,Springer-Verlag,4UZY4DMG,0.1900826446280991,0.875,0.4117647058823529,0.2059533534807806,,,,,,,,,,,,,,,Publisher: Springer Verlag
5,A Principlist Framework for Cybersecurity Ethics,Comput. Secur.,109.0,C,10.1016/j.cose.2021.102382,"Formosa, Paul; Wilson, Michael; Richards, Deborah",2021.0,https://doi.org/10.1016/j.cose.2021.102382,journalArticle,"The ethical issues raised by cybersecurity practices and technologies are of critical importance. However, there is disagreement about what is the best ethical framework for understanding those issues. In this paper we seek to address this shortcoming through the introduction of a principlist ethical framework for cybersecurity that builds on existing work in adjacent fields of applied ethics, bioethics, and AI ethics. By redeploying the AI4People framework, we develop a domain-relevant specification of five ethical principles in cybersecurity: beneficence, non-maleficence, autonomy, justice, and explicability. We then illustrate the advantages of this principlist framework by examining the ethical issues raised by four common cybersecurity contexts: penetration testing, distributed denial of service attacks (DDoS), ransomware, and system administration. These case analyses demonstrate the utility of this principlist framework as a basis for understanding cybersecurity ethics and for cultivating the ethical expertise and ethical sensitivity of cybersecurity professionals and other stakeholders.",AI ethics; Privacy; Cybersecurity ethics; DDoS attacks; Penetration testing; Principlism; Ransomware,,0167-4048,2021-10,2023-11-06 01:29:59,2023-11-06 01:29:59,,,,VXFLFHHR,0.2027027027027027,0.5454545454545454,0.3333333333333333,0.2349071940017134,,,,,,,,,,,,,,,
6,"Religion, Pandemics and Ethics. A Diaconal-Ethical Perspective on the Covid-19 Pandemic",Pandemics and Ethics,,,10.1007/978-3-662-66872-6_19,Ulrich H. J. Körtner,2023.0,http://link.springer.com/chapter/10.1007/978-3-662-66872-6_19,Chapter,"The crisis caused by the Corona pandemic is a medical, political, social and economic, but also an ethical challenge and test. It is not only about questions of medical ethics, nursing ethics and ethics in healthcare in general. The Corona crisis touches on social ethical, but also individual ethical, personal ethical and environmental ethical aspects in a very comprehensive way.",,,0951-5666,2021-11,2023-11-06 01:29:48,2023-11-06 01:29:48,411–423,,,XQQGTU4X,0.35,1.3,0.1818181818181818,0.3188020934289591,,,,,,,,,,,,,,,
7,Business Ethics: A European Review,Encyclopedia of Business and Professional Ethics,,,10.1007/978-3-030-22767-8_295,Alex C. Michalos,2023.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-22767-8_295,ReferenceWorkEntry,European business ethics journal; European journal on social responsibility of business; Journal on business ethics for Europeans,,,,2023.0,2023-11-06 14:10:26,2023-11-06 14:10:26,269–292,,IEEE,5BG8NK2Q,0.2941176470588235,0.1666666666666666,0.4,0.3162035366293756,"Department of Engineering Education, Virginia Tech, Blacksburg, USA; Department of Engineering Education, Virginia Tech, Blacksburg, USA; Department of Computer Science, Virginia Tech, Blacksburg, USA",23 Jun 2023,1.0,5.0,978-1-6654-5713-2,,Training;Industries;Ethics;Government;Market research;Stakeholders;Artificial intelligence,artificial intelligence;ethical aspects,abstract AI ethics principles;actionable policy items;AI ethics policy development;AI ethics researchers;AI governance;AI policy;AI professionals;artificial intelligence governance;government;policy approach,,,21.0,IEEE,23 Jun 2023,Publisher: Springer Verlag
8,Ethics and Social Policy,"Global Encyclopedia of Public Administration, Public Policy, and Governance",,,10.1007/978-3-030-66252-3_2402,Anthony Bibus IIIMary S. Carlsen,2022.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-66252-3_2402,ReferenceWorkEntry,Applied Ethics; Citizenship; Codes of Ethics; Duties; Ethical Decision Making; Frameworks for Analysis; Moral Philosophy; Morality; Policy Practice; Principles; Professional Ethics; Public Administration; Public Interests; Responsibilities; Rights; Standards; Values; Virtues,,978-3-030-78269-6,,2021,2023-11-06 01:30:04,2023-11-06 01:30:04,24–28,,IEEE,EJS6LDIG,0.3,0.0,0.5,0.3160535117056856,"Electronics and Telecommunications Research Institute, Daejun, Republic of Korea; Ewha Womans University, Seoul, Republic of Korea; University of Science and Technology, Daejun, Republic of Korea; University of Science and Technology, Daejun, Republic of Korea",20 Jan 2022,1.0,5.0,978-1-6654-1766-2,Korean National Police Agency; ,Ethics;Privacy;Systematics;Chatbots;Social factors;Stakeholders;Artificial intelligence,artificial intelligence;data privacy;ethical aspects;expert systems;law administration;natural language processing;software agents;virtual reality,ethical chatbot design;biased data;unethical conversations;AI technology;public service domains;private service domains;existing computing systems;AI systems;AI-based systems;AI ethics;privacy;ethical design guidelines;AI-based conversational chatbots,,7.0,33.0,IEEE,20 Jan 2022,
9,Why Do Companies Employ Prohibited Unethical Artificial Intelligence Practices?,IEEE Transactions on Engineering Management,PP,99.0,10.1109/TEM.2023.3258686,M. Méndez-Suárez; M. d. l. M. de Obesso; O. C. Márquez; C. M. Palacios,2023.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10084347,IEEE Early Access Articles,"In this article, we investigate the previously unstudied reasons why companies use prohibited artificial intelligence (AI) applications and are punished with large fines under the European General Data Protection Regulation (GDPR). Investigating and understanding why companies engage in such severe AI ethical malpractices is essential to correct them as they seriously jeopardize the future development of AI. Based on a sample of 34 companies, out of which 23 were sanctioned under GDPR due to severe violations of AI ethical principles and using fuzzy-set qualitative comparative analysis, this study demonstrates that to be an AI ethical company and comply with the GDPR regulation, it is necessary to have an AI ethical statement, have a very strong concern for information cybersecurity, and have to be based in a country considered ethical or monitor with care the behavior of the firm in countries with lower ethical standards. As a theoretical contribution, although some authors argue that AI ethical principles are useless, the present research introduces a new theoretical perspective by demonstrating cause–effect relationships between business configurations and AI ethical failures. In addition, the results have an important managerial relevance because they show that lack of an AI ethical statement is the most relevant condition that led to ethical misbehaviors.",Artificial intelligence (AI) ethics;General Data Protection Regulation (GDPR) compliance;fuzzy-set qualitative comparative analysis (fsQCA);prohibited ai practices,978-1-4503-9247-1,1558-0040,2022,2023-11-06 01:29:57,2023-11-06 01:29:57,92–106,AIES '22,IEEE,H9LSTATR,0.1941747572815534,0.2,0.0,0.1853137404945239,"ESIC University, ESIC Business and Marketing School, Madrid, Spain; ESIC University, ESIC Business and Marketing School, Madrid, Spain; ESIC University, ESIC Business and Marketing School, Madrid, Spain; ESIC University, ESIC Business and Marketing School, Madrid, Spain",,1.0,10.0,,ESIC University(grant numbers:1-M-2017); ,Ethics;Companies;Artificial intelligence;Regulation;Behavioral sciences;Security;General Data Protection Regulation,,,,3.0,,IEEE,28 Mar 2023,
